node_id,x_coord,y_coord,zone_id,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1,wkt_geom
1,420112.62758,4649422.02935,1,0,0,0,0,0,0,0,0,0,0,1,1,POINT (420112.6 4649422)
2,421423.81005,4648646.33099,2,0,0,0,0,0,0,0,0,0,0,1,1,POINT (421423.8 4648646)
3,422355.41533,4649543.99472,3,0,0,0,0,0,0,0,0,0,0,1,1,POINT (422355.4 4649544)
4,419600.99329,4648144.08467,4,0,0,0,0,0,0,0,0,0,0,1,1,POINT (419601 4648144)
5,420521.54826,4648139.30934,5,0,0,0,0,0,0,0,0,0,0,1,1,POINT (420521.5 4648139)
6,419528.89491,4646906.4441,6,0,0,0,0,0,0,0,0,0,0,1,1,POINT (419528.9 4646906)
7,420505.38138,4646903.60369,7,0,0,0,0,0,0,0,0,0,0,1,1,POINT (420505.4 4646904)
8,421358.51059,4646876.04547,8,0,0,0,0,0,0,0,0,0,0,1,1,POINT (421358.5 4646876)
9,422149.9549,4647115.02396,9,0,0,0,0,0,0,0,0,0,0,1,1,POINT (422150 4647115)
10,419612.10924,4645712.81656,10,0,0,0,0,0,0,0,0,0,0,1,1,POINT (419612.1 4645713)
11,420541.61534,4645675.06989,11,0,0,0,0,0,0,0,0,0,0,1,1,POINT (420541.6 4645675)
12,421338.47901,4645826.76265,12,0,0,0,0,0,0,0,0,0,0,1,1,POINT (421338.5 4645827)
13,422270.54942,4646147.52132,13,0,0,0,0,0,0,0,0,0,0,1,1,POINT (422270.5 4646148)
14,419725.12812,4644300.30155,14,0,0,0,0,0,0,0,0,0,0,1,1,POINT (419725.1 4644300)
15,420541.60599,4644262.43073,15,0,0,0,0,0,0,0,0,0,0,1,1,POINT (420541.6 4644262)
16,421457.61332,4644330.25401,16,0,0,0,0,0,0,0,0,0,0,1,1,POINT (421457.6 4644330)
17,423618.04952,4649562.97202,17,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423618 4649563)
18,424975.06722,4649555.64132,18,0,0,0,0,0,0,0,0,0,0,1,1,POINT (424975.1 4649556)
19,426591.17481,4649543.00652,19,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426591.2 4649543)
20,428215.18878,4649528.68474,20,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428215.2 4649529)
21,429926.20211,4649517.99895,21,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429926.2 4649518)
22,423084.8773,4648322.64069,22,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423084.9 4648323)
23,424984.04639,4648275.43551,23,0,0,0,0,0,0,0,0,0,0,1,1,POINT (424984 4648275)
24,426599.89911,4648270.7996,24,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426599.9 4648271)
25,428217.63747,4648265.38497,25,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428217.6 4648265)
26,429429.9574,4648261.62102,26,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429430 4648262)
27,430465.6442,4648136.9146,27,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430465.6 4648137)
28,423563.88629,4646753.38161,28,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423563.9 4646753)
29,424986.27813,4646650.1482,29,0,0,0,0,0,0,0,0,0,0,1,1,POINT (424986.3 4646650)
30,426602.3964,4646652.89005,30,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426602.4 4646653)
31,428218.08828,4646650.75166,31,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428218.1 4646651)
32,429830.83689,4646648.84739,32,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429830.8 4646649)
33,431129.0837,4646656.10567,33,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431129.1 4646656)
34,422717.10914,4645137.85188,34,0,0,0,0,0,0,0,0,0,0,1,1,POINT (422717.1 4645138)
35,423771.09512,4645051.50582,35,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423771.1 4645052)
36,424992.86788,4645038.2794,36,0,0,0,0,0,0,0,0,0,0,1,1,POINT (424992.9 4645038)
37,426607.43467,4645041.62207,37,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426607.4 4645042)
38,428216.33122,4645035.37144,38,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428216.3 4645035)
39,429789.76021,4645055.55554,39,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429789.8 4645056)
40,430805.31031,4645018.53115,40,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430805.3 4645019)
41,423149.90564,4643817.56442,41,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423149.9 4643818)
42,423448.9006,4642863.57379,42,0,0,0,0,0,0,0,0,0,0,1,1,POINT (423448.9 4642864)
43,424911.61393,4642811.43462,43,0,0,0,0,0,0,0,0,0,0,1,1,POINT (424911.6 4642811)
44,426613.65536,4643026.23715,44,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426613.7 4643026)
45,428215.8004,4643019.95926,45,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428215.8 4643020)
46,429665.38096,4643184.75607,46,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429665.4 4643185)
47,425804.08561,4641296.00752,47,0,0,0,0,0,0,0,0,0,0,1,1,POINT (425804.1 4641296)
48,426950.22591,4641342.18313,48,0,0,0,0,0,0,0,0,0,0,1,1,POINT (426950.2 4641342)
49,428269.72788,4641408.67953,49,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428269.7 4641409)
50,412537.71519,4641899.83339,50,0,0,0,0,0,0,0,0,0,0,1,1,POINT (412537.7 4641900)
